contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,Central_B44_grain,0.8337367173828802,0.2864678012122307,Inf,-0.5292207150785467,0.5966523481852302,21,0.2864678012122307,0.47378522978144516,1.4671561505474426
ccrye / no,Central_B44_silage,0.47074178616459517,0.16938187786427383,Inf,-2.0939566449731313,0.036263842534065616,21,0.16938187786427383,0.26046278605025014,0.850784991598306
ccrye / no,East_S_grain,0.6537253118828297,0.25580411828241334,Inf,-1.086291069707242,0.27735023673105086,21,0.25580411828241334,0.343453762151225,1.2442920430381974
ccrye / no,West_F_grain,0.6995459772402707,0.25028418548240894,Inf,-0.9987223012926535,0.3179292342472664,21,0.25028418548240894,0.3883606113523822,1.2600777729979837
ccrye / no,Central_B42_grain,2.3363398252592233,0.8068539998132886,Inf,2.4571783291153975,0.014003315509068462,22,0.8068539998132886,1.3238392033414148,4.12322264313891
ccrye / no,Central_B44_grain,0.8364795341865924,0.2796395245214296,Inf,-0.5341023183824462,0.5932707458437109,22,0.2796395245214296,0.48266305549053573,1.449661421469078
ccrye / no,Central_B44_silage,0.3258605185522999,0.11331332081061701,Inf,-3.2245351625997194,0.0012617736022611898,22,0.11331332081061701,0.18391895148286877,0.5773471232575208
ccrye / no,East_S_grain,0.6528711601710921,0.24887163291067343,Inf,-1.1185214116209907,0.263344366987209,22,0.24887163291067343,0.3487546936345161,1.2221792553990243
ccrye / no,West_F_grain,0.6995664163158509,0.24250671182199843,Inf,-1.030698325078728,0.30268231045357724,22,0.24250671182199843,0.3955461600721013,1.2372593144319604
ccrye / no,Central_B42_grain,2.341444183493027,0.7952708795791292,Inf,2.5048390792007518,0.012250711650318538,23,0.7952708795791292,1.3392286645625693,4.093670490695497
ccrye / no,Central_B44_grain,0.8357655316732787,0.2745214111880294,Inf,-0.5461953876579642,0.5849316362994654,23,0.2745214111880294,0.48690447055788505,1.4345812498554118
ccrye / no,Central_B44_silage,0.30947356124191583,0.1051112433551717,Inf,-3.4532572165813518,5.538606132645502e-4,23,0.1051112433551717,0.17700993233518492,0.5410650342851778
ccrye / no,East_S_grain,0.6532021725765131,0.24472529844055269,Inf,-1.136696088205184,0.25566535519333017,23,0.24472529844055269,0.352705862289309,1.209713599567834
ccrye / no,West_F_grain,0.6996500152293386,0.23769445355244778,Inf,-1.0513393286529005,0.2931027702381948,23,0.23769445355244778,0.4001216297234116,1.2234033539971154
ccrye / no,Central_B42_grain,2.325339576787835,0.8382744804500926,Inf,2.3408504563308425,0.019239871820601457,24,0.8382744804500926,1.2851863574702524,4.207330801440588
ccrye / no,Central_B44_grain,0.8382834853456436,0.2933042372247885,Inf,-0.5041602061131082,0.6141488017807322,24,0.2933042372247885,0.47146455950100424,1.4905027061779452
ccrye / no,Central_B44_silage,0.4027116329068348,0.14668948551210917,Inf,-2.4969760591413293,0.01252574129535115,24,0.14668948551210917,0.2212018379162227,0.7331614457015116
ccrye / no,East_S_grain,0.6531002133641197,0.26021779047430577,Inf,-1.0692459533353555,0.28495885702725393,24,0.26021779047430577,0.3391233192804373,1.2577722157276139
ccrye / no,West_F_grain,0.6994513720629393,0.2554488417343637,Inf,-0.9787681561091667,0.32769454720357905,24,0.2554488417343637,0.3835899304027702,1.2754042353693529
ccrye / no,Central_B42_grain,2.3391431541627066,0.7982598979170764,Inf,2.4901263895201033,0.012769767518904311,25,0.7982598979170764,1.3343698982620351,4.100505191845822
ccrye / no,Central_B44_grain,0.8399124204099861,0.2773645315208657,Inf,-0.5282908727524003,0.5972974655793346,25,0.2773645315208657,0.4879032443547652,1.4458868271964411
ccrye / no,Central_B44_silage,0.47120227802597475,0.1622642422163544,Inf,-2.1851058642174945,0.02888108538421785,25,0.1622642422163544,0.2674311342682351,0.8302383618287649
ccrye / no,East_S_grain,0.6524672412519774,0.24570427424039507,Inf,-1.1338826882087885,0.2568437597585018,25,0.24570427424039507,0.3511967442572903,1.2121795200785919
ccrye / no,West_F_grain,0.6995760888791968,0.238947658170204,Inf,-1.0460242503867254,0.2955498362338567,25,0.238947658170204,0.39887867707667085,1.2269562958800178
ccrye / no,Central_B42_grain,2.32621533473632,0.8390324375519568,Inf,2.3406605721839675,0.019249658816919334,26,0.8390324375519568,1.2852683954771922,4.210231732612797
ccrye / no,Central_B44_grain,0.8363729211787034,0.29285875619205187,Inf,-0.510292710446869,0.6098464089191001,26,0.29285875619205187,0.47018377600965405,1.4877579767163953
